label,email
spam,Earn $2000 a week working from home #1. Limited spots!
spam,Win a luxury vacation #2. Click here to book your free trip.
spam,Congratulations! You're the lucky winner #3 of our sweepstakes.
spam,Final notice: win a year of Netflix for free #4.
spam,Your account is selected for a cash prize #5. Verify now.
spam,You have an unclaimed lottery prize #6. Submit your details now.
spam,Urgent! Your PayPal account won $500 bonus #7. Confirm identity.
spam,Claim your reward now! Mystery prize awaits you #8.
spam,Exclusive offer #9: Get a $1000 Amazon gift card.
spam,Urgent! Your PayPal account won $500 bonus #10. Confirm identity.
spam,Win a luxury vacation #11. Click here to book your free trip.
spam,Earn $2000 a week working from home #12. Limited spots!
spam,Claim your reward now! Mystery prize awaits you #13.
spam,Earn $2000 a week working from home #14. Limited spots!
spam,You have an unclaimed lottery prize #15. Submit your details now.
spam,Your account is selected for a cash prize #16. Verify now.
spam,Claim your reward now! Mystery prize awaits you #17.
spam,Earn $2000 a week working from home #18. Limited spots!
spam,You have an unclaimed lottery prize #19. Submit your details now.
spam,Win a luxury vacation #20. Click here to book your free trip.
spam,Exclusive offer #21: Get a $1000 Amazon gift card.
spam,Win a luxury vacation #22. Click here to book your free trip.
spam,Claim your reward now! Mystery prize awaits you #23.
spam,Earn $2000 a week working from home #24. Limited spots!
spam,Urgent! Your PayPal account won $500 bonus #25. Confirm identity.
spam,Your account is selected for a cash prize #26. Verify now.
spam,Claim your reward now! Mystery prize awaits you #27.
spam,Exclusive offer #28: Get a $1000 Amazon gift card.
spam,Claim your reward now! Mystery prize awaits you #29.
spam,Exclusive offer #30: Get a $1000 Amazon gift card.
spam,You have an unclaimed lottery prize #31. Submit your details now.
spam,Earn $2000 a week working from home #32. Limited spots!
spam,Urgent! Your PayPal account won $500 bonus #33. Confirm identity.
spam,Congratulations! You're the lucky winner #34 of our sweepstakes.
spam,You have an unclaimed lottery prize #35. Submit your details now.
spam,Congratulations! You're the lucky winner #36 of our sweepstakes.
spam,Final notice: win a year of Netflix for free #37.
spam,Claim your reward now! Mystery prize awaits you #38.
spam,Earn $2000 a week working from home #39. Limited spots!
spam,Claim your reward now! Mystery prize awaits you #40.
spam,Urgent! Your PayPal account won $500 bonus #41. Confirm identity.
spam,Win a luxury vacation #42. Click here to book your free trip.
spam,Earn $2000 a week working from home #43. Limited spots!
spam,Congratulations! You're the lucky winner #44 of our sweepstakes.
spam,Earn $2000 a week working from home #45. Limited spots!
spam,Urgent! Your PayPal account won $500 bonus #46. Confirm identity.
spam,Urgent! Your PayPal account won $500 bonus #47. Confirm identity.
spam,Your account is selected for a cash prize #48. Verify now.
spam,Your account is selected for a cash prize #49. Verify now.
spam,Earn $2000 a week working from home #50. Limited spots!
ham,Can you send me the meeting notes from yesterday #1?
ham,Please find the attached report for review #2.
ham,Don’t forget the team call at 10am tomorrow #3.
ham,"Hi, just wanted to confirm our lunch meeting for tomorrow #4."
ham,Please find the attached report for review #5.
ham,Can we reschedule our call to next Tuesday #6?
ham,Thanks for your help on the project last week #7.
ham,Don’t forget the team call at 10am tomorrow #8.
ham,Happy Birthday! Hope you have a wonderful day #9.
ham,Can we reschedule our call to next Tuesday #10?
ham,Let’s catch up over coffee sometime this week #11.
ham,Congrats on your promotion! Well deserved #12.
ham,"Hi, just wanted to confirm our lunch meeting for tomorrow #13."
ham,Happy Birthday! Hope you have a wonderful day #14.
ham,Congrats on your promotion! Well deserved #15.
ham,Can you send me the meeting notes from yesterday #16?
ham,Can you send me the meeting notes from yesterday #17?
ham,Don’t forget the team call at 10am tomorrow #18.
ham,Don’t forget the team call at 10am tomorrow #19.
ham,Congrats on your promotion! Well deserved #20.
ham,Please find the attached report for review #21.
ham,Don’t forget the team call at 10am tomorrow #22.
ham,Don’t forget the team call at 10am tomorrow #23.
ham,Let’s catch up over coffee sometime this week #24.
ham,Congrats on your promotion! Well deserved #25.
ham,Thanks for your help on the project last week #26.
ham,"Hi, just wanted to confirm our lunch meeting for tomorrow #27."
ham,Don’t forget the team call at 10am tomorrow #28.
ham,"Hi, just wanted to confirm our lunch meeting for tomorrow #29."
ham,Happy Birthday! Hope you have a wonderful day #30.
ham,Thanks for your help on the project last week #31.
ham,Reminder: your dentist appointment is on Monday #32.
ham,Happy Birthday! Hope you have a wonderful day #33.
ham,Let’s catch up over coffee sometime this week #34.
ham,Please find the attached report for review #35.
ham,Let’s catch up over coffee sometime this week #36.
ham,"Hi, just wanted to confirm our lunch meeting for tomorrow #37."
ham,Let’s catch up over coffee sometime this week #38.
ham,Please find the attached report for review #39.
ham,Reminder: your dentist appointment is on Monday #40.
ham,Please find the attached report for review #41.
ham,Please find the attached report for review #42.
ham,Can we reschedule our call to next Tuesday #43?
ham,Congrats on your promotion! Well deserved #44.
ham,Please find the attached report for review #45.
ham,Happy Birthday! Hope you have a wonderful day #46.
ham,Can you send me the meeting notes from yesterday #47?
ham,Don’t forget the team call at 10am tomorrow #48.
ham,Congrats on your promotion! Well deserved #49.
ham,Reminder: your dentist appointment is on Monday #50.
